"Bank","Code","Country","Tag","Currency"
"AMALGAMATED BANK LTD","GH210100","Ghana","amalgamatedbank","GHS"
"UNIBANK GHANA LTD","GH220100","Ghana","unibankghana","GHS"
"FIDELITY BANK","GH240100","Ghana","fidelitybank","GHS"
"INTERCONTINENTAL BANK LTD","GH250100","Ghana","internationalbank","GHS"
"BANK OF BARODA","GH260100","Ghana","bankbaroda","GHS"
"FIRST CAPITAL PLUS  BANK","GH310100","Ghana","firstcapital","GHS"
"GN BANK LTD","GH320100","Ghana","gnbank","GHS"
"SOVEREIGN BANK","GH340100","Ghana","sovereignbank","GHS"
"PREMIUM BANK","GH350100","Ghana","premiumbank","GHS"
"OMNIBANK GHANA LTD","GH360100","Ghana","omnibankghana","GHS"
"Airtel","AIRTEL","Ghana","airtel","GHS"
"Vodafone","VODAFONE","Ghana","vodafone","GHS"
"TIGO","TIGO","Ghana","tigo","GHS"
"MTN Mobile","MTN","Ghana","mtn","GHS"
"Absa Bank Kenya Plc","003","Kenya","absakenya","KES"
"Rubies Microfinance Bank","090175","Nigeria","rubiesbank","NGN"
"TCF MFB","090115","Nigeria","tcf","NGN"
"Kuda","090267","Nigeria","kuda","NGN"
"Suntrust Bank","100","Nigeria","suntrustbank","NGN"
"FINATRUST MICROFINANCE BANK","608","Nigeria","finatrustbank","NGN"
"ProvidusBank PLC","101","Nigeria","providusbank","NGN"
"Bank of India","UG034000","Uganda","bankindia","UGX"
"FINCA UGANDA LIMITED 1","UG053000","Uganda","fincauganda","UGX"
"NATIONAL BANK OF COMMERCE","UG15000","Uganda","nationalbank","UGX"
"CRANE BANK","UG17000","Uganda","cranebank","UGX"
"GLOBAL TRUST BANK","UG24000","Uganda","globalbank","UGX"
"GUARANTEE TRUST BANK","UG27000","Uganda","gtbuganda","UGX"
"BANK OF UGANDA","UG47000","Uganda","bankuganda","UGX"
"FINCA UGANDA LIMITED","UG53000","Uganda","fincauganda","UGX"
"POST BANK UGANDA LIMITED","UG56000","Uganda","postbank","UGX"
"PRIDE MICROFINANCE LIMITED","UG57000","Uganda","pridemicrofinance","UGX"
"OPPORTUNITY BANK UGNADA LIMITED","UG61000","Uganda","opportunitybank","UGX"
"Top Finance Bank Limited","UG62000","Uganda","topbank","UGX"
"BANK OF UGANDA 1","UG99000","Uganda","bankugandaone","UGX"
"COMMERZBANK - EUR","UGCOBEUR","Uganda","commerzbankeur","UGX"
"COMMERZBANK - GBP","UGCOBGBP","Uganda","commerzbankgbp","UGX"
